id,name,description,tags,category,city,lat,lon,price_pkr,rating,availability,images,owner_id
hotel001,Pearl Continental Lahore,Luxury 5-star hotel in Mall Road with world-class amenities including outdoor pool spa fitness center and multiple dining options. Perfect for business and leisure travelers,luxury;wifi;pool;spa;restaurant;gym;conference;parking,hotel,Lahore,31.5204,74.3587,35000,9.2,true,pc1.jpg;pc2.jpg;pc3.jpg,owner001
hotel002,Avari Hotel Lahore,Modern business hotel located in central Lahore offering comfortable rooms meeting facilities gym and executive lounge. Ideal for corporate travelers and families,business;wifi;gym;conference;restaurant;parking,hotel,Lahore,31.5497,74.3436,28000,8.8,true,avari1.jpg;avari2.jpg,owner002
hotel003,Marriott Hotel Lahore,International 5-star hotel chain with premium amenities rooftop pool fine dining restaurants spa and extensive banquet facilities. Located near commercial district,luxury;wifi;pool;gym;restaurant;spa;rooftop;conference,hotel,Lahore,31.4504,74.3587,32000,9.0,true,marriott1.jpg;marriott2.jpg,owner003
hotel004,Faletti's Hotel Lahore,Historic heritage hotel dating back to 1880s offering colonial charm modern comfort excellent location near Mall Road and Lahore Museum. Budget-friendly luxury,heritage;wifi;restaurant;historic;parking,hotel,Lahore,31.5657,74.3103,15000,8.5,true,falettis1.jpg,owner004
hotel005,Best Western Lahore,Comfortable mid-range hotel with modern rooms complimentary breakfast free wifi business center and airport shuttle. Great value for money,mid-range;wifi;breakfast;airport-shuttle;business;parking,hotel,Lahore,31.4697,74.4046,12000,8.2,true,bestwestern1.jpg,owner005
hotel006,Hotel One Gulberg,Budget-friendly hotel in upscale Gulberg area offering clean rooms basic amenities 24-hour service and proximity to shopping malls and restaurants,budget;wifi;restaurant;24-hour;parking,hotel,Lahore,31.5204,74.3436,8000,7.9,true,hotelone1.jpg,owner006
hotel007,Luxus Grand Hotel,Boutique luxury hotel featuring contemporary design suites with city views rooftop restaurant infinity pool and personalized concierge services,luxury;wifi;pool;rooftop;restaurant;concierge;spa,hotel,Lahore,31.4697,74.2658,30000,9.1,true,luxus1.jpg;luxus2.jpg,owner007
hotel008,Hospitality Inn Lahore,Family-friendly hotel near Jilani Park offering spacious rooms kids play area swimming pool and traditional Pakistani cuisine restaurant,family;wifi;pool;restaurant;kids-friendly;parking,hotel,Lahore,31.5081,74.3406,16000,8.4,true,hospitality1.jpg,owner008
poi001,Badshahi Mosque,Historic 17th century Mughal mosque built by Emperor Aurangzeb. One of the largest mosques in the world with stunning red sandstone architecture. UNESCO World Heritage nominee,heritage;historic;architecture;culture;mughal;religious,attraction,Lahore,31.5881,74.3090,0,9.5,true,mosque1.jpg;mosque2.jpg;mosque3.jpg,owner009
poi002,Shalimar Gardens,UNESCO World Heritage Mughal garden complex built in 1641 featuring three terraced levels fountains pavilions and beautiful landscaping. Perfect for peaceful walks,garden;heritage;unesco;peaceful;mughal;nature,attraction,Lahore,31.5878,74.3830,100,9.3,true,garden1.jpg;garden2.jpg,owner010
